english_label,arabic_label,score,signature,cohen_kappa
traffic,حركة المرور,3,annot_1,0.4324324324
poster,ملصق,3,annot_1,
chandelier,الثريا,3,annot_1,
rainbow,قوس المطر,2,annot_1,
block,منع,3,annot_1,
passenger,راكب,3,annot_1,
liquid,سائل,3,annot_1,
mast,سارية,3,annot_1,
soda can,علبة الصودا,3,annot_1,
mesh,مش,1,annot_1,
front,أمام,3,annot_1,
brick,قالب طوب,3,annot_1,
parasail,باراسيل,1,annot_1,
american flag,العلم الأمريكي,3,annot_1,
carrot,جزرة,3,annot_1,
tongs,ملقط,3,annot_1,
spoke,سلك,3,annot_1,
fern,السرخس,3,annot_1,
garland,جارلاند,1,annot_1,
coffee table,طاولة القهوة,3,annot_1,
tree branch,شجرة فرع,2,annot_1,
zipper,سحاب البنطلون,3,annot_1,
swan,بجعة,3,annot_1,
halter,الرسن,2,annot_1,
life jacket,سترة النجاة,3,annot_1,
safety jacket,سترة سلامة,3,annot_1,
footprint,اثار,3,annot_1,
goggles,نظارات واقية,3,annot_1,
curb,تطويق,3,annot_1,
suitcase,حقيبة سفر,3,annot_1,
family,عائلة,3,annot_1,
bubble,فقاعة,3,annot_1,
string,سلسلة,3,annot_1,
sun,الشمس,3,annot_1,
key,مفتاح,3,annot_1,
dashboard,لوحة القيادة,3,annot_1,
nightstand,منضدة سرير,3,annot_1,
moss,طحلب,3,annot_1,
dining room,تناول الطعام مجال,1,annot_1,
city,مدينة,3,annot_1,
dragon,تنين,3,annot_1,
headband,عقال الرأس,3,annot_1,
bunny,الأرنب,3,annot_1,
facial hair,الوجه شعر,2,annot_1,
print,مطبعة,3,annot_1,
splash,دفقة,3,annot_1,
taxi,سيارة اجره,3,annot_1,
home plate,مسكن لوحة,2,annot_1,
water,ماء,3,annot_1,
scarf,وشاح,3,annot_1,
crosswalk,معبر,3,annot_1,
furniture,أثاث,3,annot_1,
picture,صورة,3,annot_1,
seaweed,الأعشاب البحرية,3,annot_1,
bed,السرير,3,annot_1,
shoreline,شورلاين,1,annot_1,
reign,فتره حكم,3,annot_1,
corn,حبوب ذرة,2,annot_1,
tail light,ذيل خفيفة,1,annot_1,
entertainment center,مركز ترفيهي,3,annot_1,
word,كلمة,3,annot_1,
store,متجر,3,annot_1,
shin guards,حراس شين,1,annot_1,
bar stool,كرسي بار,3,annot_1,
market,سوق,3,annot_1,
waist,وسط,3,annot_1,
table cloth,مفرش طاولة,3,annot_1,
scissors,مقص,3,annot_1,
mound,تل,3,annot_1,
muzzle,كمامة,3,annot_1,
plaque,الترسبات,3,annot_1,
hair,شعر,3,annot_1,
cheek,الخد,3,annot_1,
roll,تدحرج,3,annot_1,
snowflake,ندفة الثلج,3,annot_1,
truck,شاحنة,3,annot_1,
male,ذكر,3,annot_1,
crab,سلطعون,3,annot_1,
flower pot,ورد وعاء,2,annot_1,
cap,قبعة,3,annot_1,
earphone,سماعة الأذن,3,annot_1,
chin,ذقن,3,annot_1,
mane,ماني,1,annot_1,
stairway,سلم,3,annot_1,
ship,سفينة,3,annot_1,
shelter,مأوى,3,annot_1,
robe,رداء - روب,3,annot_1,
court,ملعب تنس,3,annot_1,
milk,لبن,1,annot_1,
scooter,سكوتر,3,annot_1,
heart,قلب,3,annot_1,
ad,ميلادي,3,annot_1,
cracker,تكسير,3,annot_1,
jacket,السترة,3,annot_1,
building,بناء,3,annot_1,
deck,ظهر السفينة,3,annot_1,
ski boot,تزلج حذاء طويل,2,annot_1,
knee,ركبة,3,annot_1,
ribbon,شريط,3,annot_1,
horse,حصان,3,annot_1,
emblem,شعار,3,annot_1,
meat,لحمة,3,annot_1,
spray,رش,3,annot_1,
spectator,المشاهد,3,annot_1,
beer,جعة,3,annot_1,
computer,الحاسوب,3,annot_1,
toilet bowl,الحمام صحن,2,annot_1,
field,حقل,3,annot_1,
coat,معطف,3,annot_1,
spoon,ملعقة,3,annot_1,
bottle,زجاجة,3,annot_1,
cow,بقرة,3,annot_1,
traffic,حركة المرور,3,annot_2,
poster,ملصق,3,annot_2,
chandelier,الثريا,3,annot_2,
rainbow,قوس المطر,2,annot_2,
block,منع,1,annot_2,
passenger,راكب,3,annot_2,
liquid,سائل,3,annot_2,
mast,سارية,3,annot_2,
soda can,علبة الصودا,3,annot_2,
mesh,مش,2,annot_2,
front,أمام,2,annot_2,
brick,قالب طوب,3,annot_2,
parasail,باراسيل,3,annot_2,
american flag,العلم الأمريكي,3,annot_2,
carrot,جزرة,3,annot_2,
tongs,ملقط,3,annot_2,
spoke,سلك,3,annot_2,
fern,السرخس,3,annot_2,
garland,جارلاند,1,annot_2,
coffee table,طاولة القهوة,3,annot_2,
tree branch,شجرة فرع,2,annot_2,
zipper,سحاب البنطلون,3,annot_2,
swan,بجعة,3,annot_2,
halter,الرسن,3,annot_2,
life jacket,سترة النجاة,3,annot_2,
safety jacket,سترة سلامة,3,annot_2,
footprint,اثار,2,annot_2,
goggles,نظارات واقية,3,annot_2,
curb,تطويق,1,annot_2,
suitcase,حقيبة سفر,3,annot_2,
family,عائلة,3,annot_2,
bubble,فقاعة,3,annot_2,
string,سلسلة,3,annot_2,
sun,الشمس,3,annot_2,
key,مفتاح,3,annot_2,
dashboard,لوحة القيادة,3,annot_2,
nightstand,منضدة سرير,2,annot_2,
moss,طحلب,3,annot_2,
dining room,تناول الطعام مجال,1,annot_2,
city,مدينة,3,annot_2,
dragon,تنين,3,annot_2,
headband,عقال الرأس,3,annot_2,
bunny,الأرنب,3,annot_2,
facial hair,الوجه شعر,2,annot_2,
print,مطبعة,2,annot_2,
splash,دفقة,2,annot_2,
taxi,سيارة اجره,3,annot_2,
home plate,مسكن لوحة,2,annot_2,
water,ماء,3,annot_2,
scarf,وشاح,3,annot_2,
crosswalk,معبر,3,annot_2,
furniture,أثاث,3,annot_2,
picture,صورة,3,annot_2,
seaweed,الأعشاب البحرية,3,annot_2,
